iso3	pt	en	zh	pop	pop.y	pib	pib.y	adm0	landkm2	x0	x1	y0	y1
NCL	Nova Caledónia	New Caledonia	新喀里多尼亞	279070	2017	10770	2016	NCL	18841.03	163.615733	171.343765	-22.670668	-19.623712
NZL	Nova Zelândia	New Zealand	新西兰	4510327	2017	174800	2016	NZL	268490.34	165.886485	-176.113881	-52.600313	-29.221938
OMN	Omã	Oman	阿曼	3424386	2017	173100	2016	OMN	311213.45	51.978615	59.844574	16.642401	26.385972
WLS	País de Gales	Wales	威爾斯	3142938.15	2017	63815.07	2016	GBR	20795.01	-5.310943	-2.647043	51.384223	53.426947
NLX	Países Baixos	Netherlands	尼德蘭	17063586	2017	869722.86	2016	NLD	37102.5	3.349415	7.198506	50.74755	53.558092
BES	Países Baixos Caribenhos	Caribbean Netherlands	荷蘭加勒比區	21133	0	1077.14	2013	NLD	295.23	-68.417388	-62.945065	12.02204	17.646918
PLW	Palau	Palau	帛琉	21431	2017	276	2016	PLW	491.93	131.131114	134.727343	2.949042	8.096618
PSE	Palestina	Palestine	巴勒斯坦										
PAN	Panamá	Panama	巴拿马	3753142	2017	93120	2016	PAN	74530.31	-83.053246	-77.16327	7.205715	9.629292
PNG	Papua-Nova Guiné	Papua New Guinea	巴布亚新几内亚	6734541	2017	27309.7	2016	PNG	455743.56	140.849211	154.302257	-11.636326	-1.346368
PAK	Paquistão	Pakistan	巴基斯坦	204924861	2017	988200	2016	PAK	872939.29	60.844379	77.048971	23.694525	37.054484
PRY	Paraguai	Paraguay	巴拉圭	6943739	2017	64670	2016	PRY	399901.05	-62.650357	-54.245289	-27.586842	-19.286729
PER	Peru	Peru	秘鲁	31036656	2017	410400	2016	PER	1289866.4	-81.337558	-68.684252	-18.337746	-0.029093
PYF	Polinésia Francesa	French Polynesia	法屬玻里尼西亞	287881	2017	5490	2016	PYF	3336.55	-154.536977	-134.942983	-27.641209	-7.950128
POL	Polónia	Poland	波兰	38476269	2017	1052000	2016	POL	313430.77	14.123923	24.143156	48.994013	54.838324
PRI	Porto Rico	Puerto Rico	波多黎各	3351827	2017	131000	2016	PRI	9005.98	-67.937815	-65.244618	17.922919	18.522773
PRT	Portugal	Portugal	葡萄牙	10336355	2017	286194	2016	PRT	87971.79	-9.497467	-6.205947	36.965888	42.15363
SOP	Puntlândia	Puntland	邦特兰	3900000	0	2443.65	2012	SOM	138513.2	46.466963	51.417038	5.99872	11.989119
KEN	Quénia	Kenya	肯尼亚	47615739	2017	152700	2016	KEN	585702.58	33.890468	41.885019	-4.677504	5.030376
KGZ	Quirguistão	Kyrgyzstan	吉尔吉斯斯坦	5789122	2017	21010	2016	KGZ	198990.46	69.226296	80.257561	39.189237	43.261702
SCR	Recife de Scarborough	Scarborough Shoal	黄岩岛	0	2012	0	2016	SCR	0.1	117.751856	117.755692	15.150082	15.154369
KQI	Recife Kingman	Kingman Reef	金曼礁	0	2017	0	2016	UMI	2.71	-162.400177	-162.385284	6.430243	6.445136
PMD	Região Autónoma da Madeira	Madeira	馬德拉	267785	0	6414	2016	PRT	811.32	-17.252105	-15.85497	30.029242	33.110785
BCR	Região de Bruxelas-Capital	Brussels-Capital Region	布鲁塞尔-首都大区	1080790	2017	47835.11	2016	BEL	164.53	4.24557	4.479746	50.764639	50.914811
GBR	Reino Unido da Grã-Bretanha e Irlanda do Norte	United Kingdom of Great Britain and Northern Ireland	大不列颠及北爱尔兰联合王国										
CAF	República Centro-Africana	Central African Republic	中非共和國	5625118	2017	3206	2016	CAF	617984.24	14.387266	27.441301	2.236454	11.000828
CZE	República Checa	Czech Republic	捷克	10674723	2017	350900	2016	CZE	78758.86	12.076141	18.837434	48.557916	51.040012
IRL	República da Irlanda	Ireland	爱尔兰共和国	5011102	2017	322000	2016	IRL	69445.01	-10.478179	-5.99352	51.445705	55.386379
MKD	República da Macedónia	Republic of Macedonia	馬其頓共和國	2103721	2017	29520	2016	MKD	25385.27	20.444157	23.009582	40.849394	42.370335
COD	República Democrática do Congo	Democratic Republic of the Congo	刚果民主共和国	83301151	2017	66010	2016	COD	2325240.42	12.210541	31.280447	-13.458351	5.37528
DOM	República Dominicana	Dominican Republic	多明尼加	10734247	2017	161900	2016	DOM	48439.79	-72.009838	-68.328603	17.545559	19.93769
BIS	República Sérvia	Republika Srpska	塞族共和國	1438241.54	2017	15862.43	2016	BIH	22858.83	16.263079	19.618885	42.559212	45.284524
CYN	República Turca de Chipre do Norte	Turkish Republic of Northern Cyprus	北賽普勒斯土耳其共和國	265100	2013	3600	2013	CYN	3319.51	32.601899	34.59254	35.002722	35.691962
REU	Reunião	Réunion	留尼汪	837092.49	2017	5222.16	2016	FRA	2582.43	55.225434	55.854503	-21.370782	-20.861423
ROU	Roménia	Romania	羅馬尼亞	21529967	2017	441000	2016	ROU	236376.66	20.242826	29.699555	43.65005	48.274832
RWA	Ruanda	Rwanda	卢旺达	11901484	2017	21970	2016	RWA	25305.05	28.857236	30.887809	-2.826855	-1.058694
RUS	Rússia	Russia	俄罗斯	142257519	2017	3745000	2016	RUS	16980199.62	19.609548	-168.994618	41.192681	81.85871
ESH	Saara Ocidental	Western Sahara	西撒哈拉	603253	2017	906.5	2007	ESH	90494.89	-17.104644	-8.680809	20.766913	27.661465
SPM	Saint-Pierre e Miquelon	Saint Pierre and Miquelon	圣皮埃尔和密克隆群岛	5533	2017	215.3	2016	SPM	242.75	-56.396596	-56.144765	46.752753	47.141262
WSM	Samoa	Samoa	萨摩亚	200108	2017	1046	2016	WSM	2780.41	-172.782582	-171.437693	-14.05283	-13.462823
ASM	Samoa Americana	American Samoa	美屬薩摩亞	51504	2017	711	2013	ASM	180.31	-171.086537	-168.160471	-14.532892	-11.051365
SMR	San Marino	San Marino	圣马力诺	33537	2017	2023	2016	SMR	60.32	12.385629	12.492392	43.892056	43.982567
SHN	Santa Helena	Saint Helena	圣赫勒拿岛	7828	2017	31.1	2010	SHN	366.66	-14.417714	-5.65038	-40.397882	-7.877862
LCA	Santa Lúcia	Saint Lucia	圣卢西亚	164994	2017	2083	2016	LCA	605.13	-61.078521	-60.882965	13.714667	14.111884
KNA	São Cristóvão e Nevis	Saint Kitts and Nevis	聖克里斯多福與尼維斯	52715	2017	1427	2016	KNA	264.13	-62.861073	-62.536773	17.100531	17.415839
MAF	São Martinho	Saint Martin	法屬聖馬丁	32125	2017	561.5	2016	MAF	68.28	-63.14684	-63.010732	18.033391	18.122138
SXM	São Martinho	Sint Maarten	荷屬聖馬丁	42083	2017	365.8	2014	SXM	23.36	-63.118886	-63.017569	18.01911	18.06212
STP	São Tomé e Príncipe	São Tomé and Príncipe	圣多美和普林西比	201025	2017	694	2016	STP	1037.16	6.461681	7.462738	0.024115	1.699774
VCT	São Vicente e Granadinas	Saint Vincent and the Grenadines	圣文森特和格林纳丁斯	102089	2017	1241	2016	VCT	367.73	-61.459828	-61.123931	12.58515	13.380764
SEN	Senegal	Senegal	塞内加尔	14668522	2017	39720	2016	SEN	196224.3	-17.536041	-11.377776	12.305607	16.691385
SLE	Serra Leoa	Sierra Leone	塞拉利昂	6163195	2017	10640	2016	SLE	71611.71	-13.301096	-10.282236	6.91942	9.996006
SRB	Sérvia	Serbia	塞尔维亚	5162603.42	2017	73906.8	2016	SRB	56483.37	19.107185	22.984571	42.234945	45.082066
SYC	Seychelles	Seychelles	塞舌尔	93920	2017	2608	2016	SYC	435.67	46.207367	56.287446	-9.755548	-3.791111
SGP	Singapura	Singapore	新加坡	5888926	2017	487900	2016	SGP	510.5	103.640391	104.003429	1.264309	1.448635
SYR	Síria	Syria	叙利亚	17944549	2017	98830	2015	SYR	185674.07	35.723399	42.377186	32.313042	37.324906
SOM	Somália	Somalia	索马里	3631386	2012	2275.35	2012	SOM	333301.81	40.965385	48.951491	-1.696303	6.538292
SOL	Somalilândia	Somaliland	索马里兰	3500000	2013	12250	2013	SOL	167406.96	42.647247	48.939112	7.996516	11.498928
LKA	Sri Lanka	Sri Lanka	斯里蘭卡	22409381	2017	236700	2016	LKA	66291.18	79.655772	81.89031	5.923733	9.829576
SDN	Sudão	Sudan	苏丹共和国	37345935	2017	176300	2016	SDN	1857637.07	21.809449	38.603852	8.681642	22.226965
SSD	Sudão do Sul	South Sudan	南苏丹	13026129	2017	20880	2016	SSD	626861.83	24.121556	35.920835	3.490202	12.216155
SWE	Suécia	Sweden	瑞典	9960487	2017	498100	2016	SWE	446178.44	11.108165	24.163414	55.342678	69.036356
CHE	Suíça	Switzerland	瑞士	8236303	2017	496300	2016	CHE	41435.8	5.954809	10.466627	45.820718	47.801166
SUR	Suriname	Suriname	蘇利南	591919	2017	8547	2016	SUR	145123.53	-58.067691	-53.986357	1.833507	6.011574
SJM	Svalbard	Svalbard	斯瓦尔巴群岛	2667	2016	1	2016	NOR	62080.92	10.484386	33.640391	74.347357	80.770087
THA	Tailândia	Thailand	泰国	68414135	2017	1161000	2016	THA	514453.68	97.351401	105.650998	5.62989	20.445006
TWN	Taiwan	Taiwan	中華民國	23508428	2017	1127000	2016	TWN	36197.77	118.279552	122.005382	21.904608	25.287421
TJK	Tajiquistão	Tajikistan	塔吉克斯坦	8468555	2017	25810	2016	TJK	142238.26	67.34269	75.164125	36.678641	41.039977
TZA	Tanzânia	Tanzania	坦桑尼亚	53950935	2017	150600	2016	TZA	939006.87	29.321032	40.449392	-11.731272	-0.98583
ATF	Terras Austrais e Antárticas Francesas	French Southern and Antarctic Lands	法属南部领地	140	2017	16	2016	ATF	7279.99	39.728282	77.585216	-49.721612	-11.550632
IOT	Território Britânico do Oceano Índico	British Indian Ocean Territory	英屬印度洋領地	4000	2013	160	2013	IOT	49.06	71.260997	72.49464	-7.432224	-5.226983
TLS	Timor-Leste	East Timor	东帝汶	1291358	2017	4975	2016	TLS	15082.24	124.03004	127.313243	-9.501228	-8.135024
TGO	Togo	Togo	多哥	7965055	2017	11610	2016	TGO	56863.48	-0.166109	1.782351	6.100491	11.13498
TKL	Tokelau	Tokelau	托克劳群岛	1285	2016	1.5	1993	NZL	4.23	-172.502553	-171.185658	-9.361749	-8.543227
TON	Tonga	Tonga	東加	106479	2017	557	2016	TON	603.11	-176.219309	-173.914255	-22.3388	-15.559503
TTO	Trinidad e Tobago	Trinidad and Tobago	千里達及托巴哥	1218208	2017	43570	2016	TTO	5122.93	-61.9287	-60.522084	10.04206	11.35106
TUN	Tunísia	Tunisia	突尼西亞	11403800	2017	130800	2016	TUN	156611.69	7.479832	11.564131	30.228905	37.345201
TCA	Turks e Caicos	Turks and Caicos Islands	特克斯和凯科斯群岛	52570	2017	632	2007	TCA	445.22	-72.481313	-71.128896	21.290107	21.959215
TKM	Turquemenistão	Turkmenistan	土库曼斯坦	5351277	2017	94720	2016	TKM	470850.4	52.437671	66.645782	35.140647	42.791188
TUR	Turquia	Turkey	土耳其	80845215	2017	1670000	2016	TUR	780079.65	25.663259	44.806993	35.819779	42.098782
TUV	Tuvalu	Tuvalu	吐瓦魯	11052	2017	39	2016	TUV	23.02	176.125255	179.906749	-9.420668	-5.677504
UKR	Ucrânia	Ukraine	乌克兰	44033874	2017	352600	2016	UKR	571998.58	22.13284	40.159543	45.213568	52.368949
UGA	Uganda	Uganda	乌干达	39570125	2017	84930	2016	UGA	241853.63	29.54846	35.006473	-1.475206	4.219692
SYU	UNDOF	United Nations Disengagement Observer Force Zone	聯合國脫離接觸觀察員部隊	84000	2013	234.27	2013	SYR	264.98	35.75759	35.923833	32.744347	33.431242
URY	Uruguai	Uruguay	乌拉圭	3360148	2017	73250	2016	URY	177345.13	-58.439361	-53.110836	-34.973403	-30.09687
UZB	Usbequistão	Uzbekistan	乌兹别克斯坦	29748859	2017	202300	2016	UZB	447830.16	55.975839	73.148641	37.185147	45.558719
VUT	Vanuatu	Vanuatu	萬那杜	282814	2017	723	2016	VUT	12296.6	166.520518	169.898936	-20.253106	-13.064874
VAT	Vaticano	Vatican City	梵蒂冈	1000	2015	0	0	VAT	0.01	12.452714	12.454035	41.902752	41.903915
VEN	Venezuela	Venezuela	委內瑞拉	31304016	2017	468600	2016	VEN	912684.4	-73.391149	-59.815595	0.649315	15.702948
VNM	Vietname	Vietnam	越南	96160163	2017	594900	2016	VNM	328892.12	102.118655	109.472423	8.565579	23.366275
SRV	Voivodina	Vojvodina	伏伊伏丁那	1948420.58	2017	27893.2	2016	SRB	21090.23	18.844978	21.539078	44.631783	46.173875
WLF	Wallis e Futuna	Wallis and Futuna	瓦利斯和富圖納	15714	2017	60	2016	WLF	139.33	-178.18574	-176.1256	-14.319431	-13.208917
ZMB	Zâmbia	Zambia	赞比亚	15972000	2017	65170	2016	ZMB	751914.94	21.979878	33.674203	-18.069232	-8.194124
TZZ	Zanzibar	Zanzibar	桑給巴爾	1070000	0	235.4	0	TZA	2499.12	39.177013	39.878184	-6.462823	-4.890313
ZWE	Zimbábue	Zimbabwe	辛巴威	13805084	2017	28330	2016	ZWE	389337.48	25.21937	33.042768	-22.39734	-15.614808
KNX	Zona Desmilitarizada da Coreia	Korean Demilitarized Zone	朝韩非军事区	218	0	218	2013	KOR	1097.68	126.660516	128.394784	37.782183	38.624335
KNZ	Zona Desmilitarizada da Coreia	Korean Demilitarized Zone	朝韩非军事区	0	2017	0	2016	PRK	1142.09	126.607083	128.364919	37.787706	38.675362
