iso3	pt	en	zh	pop	pop.y	pib	pib.y	adm0	landkm2	x0	x1	y0	y1
MLT	Malta	Malta	马耳他	416338	2017	16320	2016	MLT	325.69	14.183604	14.567149	35.801215	36.075588
MNP	Marianas Setentrionais	Northern Mariana Islands	北马里亚纳群岛	52263	2017	682	2013	MNP	579.3	144.90211	145.868907	14.110663	20.555406
MAR	Marrocos	Morocco	摩洛哥	33986655	2017	282800	2016	MAR	591745.25	-17.013743	-1.031999	21.419971	35.926519
MTQ	Martinica	Martinique	馬提尼克	463546.73	2017	7346.81	2016	FRA	1097.46	-61.228831	-60.810414	14.408108	14.876899
MUS	Maurícia	Mauritius	毛里求斯	1356388	2017	25850	2016	MUS	2014.44	56.524181	63.493907	-20.517348	-10.323907
MRT	Mauritânia	Mauritania	毛里塔尼亚	3758571	2017	16710	2016	MRT	1036391.82	-17.081175	-4.821613	14.734399	27.285416
MYT	Mayotte	Mayotte	马约特	237831.14	2017	1145.8	2016	FRA	394.9	45.042491	45.290863	-12.98919	-12.647231
MEX	México	Mexico	墨西哥	124574795	2017	2307000	2016	MEX	1957847.06	-118.368804	-86.700592	14.546279	32.712836
MMR	Mianmar	Myanmar	缅甸	55123814	2017	311100	2016	MMR	663159.3	92.174973	101.173855	9.790717	28.538466
FSM	Micronésia	Federated States of Micronesia	密克罗尼西亚联邦	104196	2017	314	2016	FSM	633.85	138.063813	163.04656	0.918158	9.77558
MOZ	Moçambique	Mozambique	莫桑比克	26573706	2017	35010	2016	MOZ	788448.54	30.213845	40.847992	-26.860272	-10.469008
MDA	Moldávia	Moldova	摩尔多瓦	3474121	2017	18540	2016	MDA	33206.48	26.617889	30.131576	45.461774	48.486034
MCO	Mónaco	Monaco	摩纳哥	30645	2017	7672	2015	MCO	18.84	7.36575	7.437454	43.717969	43.763506
MNG	Mongólia	Mongolia	蒙古国	3068243	2017	37000	2016	MNG	1564648.99	87.735709	119.907027	41.586145	52.129584
MNE	Montenegro	Montenegro	蒙特內哥羅	642550	2017	10610	2016	MNE	13727.5	18.433531	20.355171	41.852362	43.547886
MSR	Montserrat	Montserrat	蒙塞拉特島	5292	2017	43.8	2006	MSR	99.6	-62.230133	-62.140533	16.67536	16.819322
NAM	Namíbia	Namibia	纳米比亚	2484780	2017	25990	2016	NAM	822713.05	11.717621	25.259781	-28.959368	-16.951057
NRU	Nauru	Nauru	諾魯	9642	2017	150.8	2015	NRU	28.77	166.906993	166.958263	-0.551853	-0.490411
NPL	Nepal	Nepal	尼泊尔	29384297	2017	71520	2016	NPL	147105.49	80.030288	88.169067	26.343768	30.416904
NIC	Nicarágua	Nicaragua	尼加拉瓜	6025951	2017	33550	2016	NIC	128691.43	-87.685821	-82.725697	10.713482	15.03097
NER	Níger	Niger	尼日尔	19245344	2017	20150	2016	NER	1181300.89	0.152941	15.970322	11.695773	23.517351
NGA	Nigéria	Nigeria	奈及利亞	190632261	2017	1089000	2016	NGA	907501.08	2.671082	14.669936	4.272162	13.880291
NIU	Niue	Niue	紐埃	1626	2015	10	2003	NIU	220.57	-169.950429	-169.782908	-19.142755	-18.964044
NOR	Noruega	Norway	挪威	5317358	2017	364699	2016	NOR	319472.01	4.643809	31.076996	57.99315	71.165269
